Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Василашко,Амвросій,Петрович,Чоловіча,2000-08-30,Кушнір,село Березне,"узвіз Слави, буд. 5, Семенівка, 36493",009 414-53-71,cdzyndra@example.net
Вакуленко,Прохір,Андрійович,Чоловіча,1975-10-20,Кінорежисер,село Баранівка,"шосе Каберне, буд. 6, Перевальськ, 34234",283 55 50,bhodunok@example.net
Зінчук,Дан,Олександрович,Чоловіча,1947-10-13,Каскадер,місто Кремінна,"шосе Леха Качинського, буд. 26, Білицьке, 72354",116 72 67,ihnatprotsenko@example.net
Девдюк,Марко,Богданович,Чоловіча,2007-09-27,Фізик,село Генічеськ,"сквер Олександра Станкова, буд. 769, Баранівка, 37421",606 69 62,hnesterenko@example.org
Радченко,Гаврило,Андрійович,Чоловіча,2006-04-21,Будник,місто Новий Розділ,"парк Рульовий, буд. 49 кв. 023, Дніпрорудне, 91566",045 752 52 61,zizhakevych@example.com
Чаленко,Ігор,Петрович,Чоловіча,1972-06-16,Громадський діяч,селище Довжанськ,"парк Кобзаря, буд. 564 кв. 906, Яворів, 63423",+380 44 478-13-91,hennadii48@example.com
Шелест,Микита,Дмитрович,Чоловіча,1975-03-03,Промисловець,селище Білозерське,"сквер Любашівський, буд. 543, Бучач, 76629",+380 (52) 762-69-10,lupiivalentyn@example.org
Кибкало,Венедикт,Михайлович,Чоловіча,1998-02-22,Драматург,місто Перемишляни,"парк Панаса Мирного, буд. 77 кв. 3, Переяслав, 34457",422-74-69,maksym06@example.com
Івасюк,Герман,Петрович,Чоловіча,1989-09-07,Мінералог,село Глобине,"сквер Луцька, буд. 304 кв. 3, Харків, 34156",+380 82 750 27 29,iaroslavakovpak@example.com
Дробаха,Лесь,Андрійович,Чоловіча,1974-05-01,Шериф,селище Сімферополь,"проспект Станційна 2-га, буд. 55, Путивль, 95911",057 847-99-08,iefrem01@example.net
Стус,Аркадій,Олександрович,Чоловіча,2000-11-20,Менеджер,село Новоселиця,"провулок Курортний, буд. 490 кв. 905, Добромиль, 94284",+380 35 753-35-33,myron34@example.net
Дробʼязко,Зорян,Володимирович,Чоловіча,1995-11-20,Нотаріус,місто Лохвиця,"проспект Виїзна, буд. 2, Сколе, 51170",+380 (87) 253-89-56,varvara45@example.org
Артимович,Левко,Богданович,Чоловіча,1940-01-04,Ріелтор,місто Скалат,"площа Чернігівський, буд. 246 кв. 895, Миронівка, 79216",+380 45 921-67-89,davydenkoamaliia@example.net
Салій,Прохір,Богданович,Чоловіча,1949-10-16,Скульптор,селище Шумськ,"площа Туристський, буд. 79, Волноваха, 93226",991-80-86,holykhryhorii@example.com
Медведенко,Пантелеймон,Дмитрович,Чоловіча,1943-08-25,Професор,місто Ірміно,"узвіз Сергія Параджанова, буд. 1 кв. 8, Баштанка, 17854",392 72 98,pavloprotsenko@example.net
Базилевич,Лукʼян,Петрович,Чоловіча,1953-04-30,Прокурор,селище Ялта,"шосе Тетяни Тесс, буд. 10, Малин, 11974",+380 78 770-29-71,iukhymandriiovych@example.org
Романець,Гордій,Дмитрович,Чоловіча,1996-07-17,Етнограф,селище Перемишляни,"набережна Марка Крейна, буд. 23 кв. 7, Трускавець, 06523",067 693 59 80,oksanalupii@example.org
Тягнибок,Гордій,Богданович,Чоловіча,1979-01-23,Петрограф,хутір Авдіївка,"проспект Фонтанська дорога, буд. 7 кв. 3, Добромиль, 31378",066 182-85-15,solomon74@example.org
Іваненко,Азар,Богданович,Чоловіча,1968-08-10,Живописець,хутір Гола Пристань,"провулок Пантелеймонівська, буд. 923, Овруч, 48189",026 540 84 39,mvovk@example.org
Оніщук,Федір,Юрійович,Чоловіча,1947-12-16,Гірник,селище Бровари,"шосе Льва Симиренка, буд. 347, Жовква, 64345",+380 74 008-30-24,drobiazkoandrii@example.org
Давиденко,Адам,Дмитрович,Чоловіча,1942-01-09,Маркетолог,хутір Боярка,"сквер Каштанова, буд. 809 кв. 9, Великі Мости, 94055",115-66-25,varfolomii44@example.org
Рудик,Роман,Петрович,Чоловіча,1985-01-11,Стиліст,хутір Роздільна,"шосе Лиманчик 2-й Лінія 11-та, буд. 464, Сорокине, 85498",029 624-91-49,tokarvioletta@example.net
Ґоляш,Мартин,Юрійович,Чоловіча,1982-09-30,Архітектор,місто Золочів,"провулок Аркаса Миколи, буд. 995, Ічня, 30804",+380 25 006-60-22,martaperepelytsia@example.com
Цісик,Віктор,Богданович,Чоловіча,1961-03-16,Провізор,місто Амвросіївка,"шосе Квантовий, буд. 975, Ірміно, 70810",+380 36 257-33-05,tsymbaliukpriska@example.net
